energy,rates,bin_width,error_up,error_down
3.74,100.2,0.5,13.3,13.0
4.24,77.5,0.5,6.0,5.8
4.74,76.9,0.5,3.6,3.5
5.24,67.2,0.5,2.1,2.1
5.74,62.7,0.5,1.6,1.6
6.24,54.8,0.5,1.5,1.4
6.74,48.0,0.5,1.3,1.3
7.24,41.4,0.5,1.2,1.2
7.74,34.0,0.5,1.1,1.0
8.24,27.8,0.5,0.9,0.9
8.74,23.0,0.5,0.8,0.8
9.24,18.3,0.5,0.7,0.7
9.74,13.6,0.5,0.6,0.6
10.24,11.7,0.5,0.5,0.5
10.74,7.99,0.5,0.43,0.41
11.24,6.20,0.5,0.36,0.34
11.74,4.87,0.5,0.31,0.29
12.24,2.96,0.5,0.25,0.23
12.74,1.81,0.5,0.20,0.18
13.24,1.34,0.5,0.17,0.15
13.99,1.55,1.0,0.18,0.16
14.99,0.59,1.0,0.10,0.10
17.49,0.16,4.0,0.08,0.06
