E_nu,Te_center,sigma_e,sigma_x
1.878399999999999861e-02,3.740000000000000213e+00,1.909933256539345816e-119,9.129478463437877120e-120
3.756700000000000317e-02,3.740000000000000213e+00,2.131313028040228939e-118,1.145105476930964249e-118
5.635099999999999831e-02,3.740000000000000213e+00,3.526455355781320877e-117,2.073020554342463338e-117
7.513499999999999346e-02,3.740000000000000213e+00,1.139813432515561111e-115,6.791203505040401218e-116
9.391900000000000248e-02,3.740000000000000213e+00,6.225811399692436451e-114,3.607287568697729654e-114
1.126999999999999946e-01,3.740000000000000213e+00,4.854180174130036401e-112,2.694750999498200551e-112
1.314899999999999958e-01,3.740000000000000213e+00,4.752234088190380299e-110,2.516688096478060059e-110
1.502699999999999869e-01,3.740000000000000213e+00,5.256800452867482178e-108,2.655249013540594701e-108
1.690500000000000058e-01,3.740000000000000213e+00,6.095000800614317844e-106,2.940736674766581100e-106
1.878400000000000070e-01,3.740000000000000213e+00,6.999867552881603266e-104,3.232963336110689639e-104
2.066199999999999981e-01,3.740000000000000213e+00,7.578188604453884801e-102,3.358547585750062265e-102
2.253999999999999893e-01,3.740000000000000213e+00,7.503002972131966042e-100,3.198433433819424612e-100
2.441899999999999904e-01,3.740000000000000213e+00,6.650134193268796559e-98,2.733025465532856795e-98
2.629699999999999815e-01,3.740000000000000213e+00,5.165396436057303746e-96,2.051083543793535428e-96
2.817600000000000104e-01,3.740000000000000213e+00,3.493995356278066537e-94,1.343212002608724062e-94
3.005399999999999738e-01,3.740000000000000213e+00,2.035534219846593518e-92,7.590498931126084948e-93
3.193199999999999927e-01,3.740000000000000213e+00,1.020347102169704560e-90,3.697152231227421038e-91
3.381100000000000216e-01,3.740000000000000213e+00,4.406223095771499491e-89,1.553843228588924910e-89
3.568899999999999850e-01,3.740000000000000213e+00,1.634558513964859489e-87,5.618433723349035025e-88
3.756700000000000039e-01,3.740000000000000213e+00,5.233036765645891638e-86,1.755657234238896653e-86
3.944599999999999773e-01,3.740000000000000213e+00,1.453568623688546752e-84,4.765841041481147264e-85
4.132399999999999962e-01,3.740000000000000213e+00,3.505718165261481963e-83,1.124645312019857176e-83
4.320300000000000251e-01,3.740000000000000213e+00,7.401642154979336339e-82,2.325788601477120074e-82
4.508099999999999885e-01,3.740000000000000213e+00,1.370519336218916387e-80,4.222556244377833211e-81
4.695900000000000074e-01,3.740000000000000213e+00,2.241008704674787845e-79,6.776268182812509585e-80
4.883799999999999808e-01,3.740000000000000213e+00,3.257673898140262357e-78,9.675819674804161846e-79
5.071600000000000552e-01,3.740000000000000213e+00,4.220169958025850849e-77,1.232259087021969186e-77
5.259399999999999631e-01,3.740000000000000213e+00,4.904514591775510257e-76,1.408935338572590327e-76
5.447300000000000475e-01,3.740000000000000213e+00,5.145608824401537935e-75,1.455327252096445195e-75
5.635099999999999554e-01,3.740000000000000213e+00,4.885382346128328751e-74,1.361271238254720795e-74
5.823000000000000398e-01,3.740000000000000213e+00,4.227472267426403659e-73,1.161227692701292760e-73
6.010799999999999477e-01,3.740000000000000213e+00,3.341651338386591430e-72,9.054124821708252571e-73
6.198599999999999666e-01,3.740000000000000213e+00,2.426267790342035958e-71,6.488021731425514694e-72
6.386500000000000510e-01,3.740000000000000213e+00,1.626477013491523742e-70,4.294693671685790891e-71
6.574299999999999589e-01,3.740000000000000213e+00,1.008620478688749079e-69,2.631103879991462084e-70
6.762099999999999778e-01,3.740000000000000213e+00,5.813804982645572318e-69,1.498983376413326217e-69
6.949999999999999512e-01,3.740000000000000213e+00,3.128800317799742691e-68,7.976765110224481951e-69
7.137799999999999701e-01,3.740000000000000213e+00,1.574610903346281155e-67,3.971148213088227082e-68
7.325700000000000545e-01,3.740000000000000213e+00,7.447135080568881790e-67,1.858628515079258742e-67
7.513499999999999623e-01,3.740000000000000213e+00,3.314574097421337958e-66,8.189438705539965258e-67
7.701299999999999812e-01,3.740000000000000213e+00,1.393490723226011170e-65,3.409614325420092390e-66
7.889199999999999546e-01,3.740000000000000213e+00,5.552819440603880183e-65,1.345957453696224399e-65
8.076999999999999735e-01,3.740000000000000213e+00,2.099594860714101047e-64,5.043230564111602661e-65
8.264799999999999924e-01,3.740000000000000213e+00,7.557062626458915180e-64,1.799334266942110651e-64
8.452699999999999658e-01,3.740000000000000213e+00,2.596846237830754511e-63,6.130731269514713393e-64
8.640499999999999847e-01,3.740000000000000213e+00,8.526893628216014570e-63,1.996566692464325660e-63
8.828399999999999581e-01,3.740000000000000213e+00,2.684309016530529533e-62,6.235377866339817245e-63
