energy,lambda
0.10,0.214
0.20,0.763
0.30,1.513
0.40,2.507
0.50,3.763
0.60,5.239
0.70,6.914
0.80,8.772
0.90,10.798
1.00,12.976
1.10,15.292
1.20,17.735
1.30,20.292
1.40,22.950
1.50,25.699
1.60,28.528
1.70,31.427
1.80,34.386
1.90,37.395
2.00,40.447
2.10,43.531
2.20,46.640
2.30,49.767
2.40,52.903
2.50,56.041
2.60,59.174
2.70,62.296
2.80,65.401
2.90,68.482
3.00,71.533
3.10,74.549
3.20,77.526
3.30,80.456
3.40,83.337
3.50,86.164
3.60,88.931
3.70,91.635
3.80,94.272
3.90,96.839
4.00,99.331
4.10,101.746
4.20,104.081
4.30,106.332
4.40,108.497
4.50,110.574
4.60,112.560
4.70,114.452
4.80,116.250
4.90,117.951
5.00,119.553
5.10,121.056
5.20,122.457
5.30,123.755
5.40,124.951
5.50,126.042
5.60,127.028
5.70,127.909
5.80,128.683
5.90,129.351
6.00,129.914
6.10,130.369
6.20,130.719
6.30,130.963
6.40,131.101
6.50,131.134
6.60,131.063
6.70,130.888
6.80,130.611
6.90,130.232
7.00,129.752
7.10,129.174
7.20,128.497
7.30,127.724
7.40,126.856
7.50,125.895
7.60,124.843
7.70,123.701
7.80,122.471
7.90,121.156
8.00,119.758
8.10,118.278
8.20,116.720
8.30,115.086
8.40,113.378
8.50,111.599
8.60,109.751
8.70,107.838
8.80,105.862
8.90,103.827
9.00,101.734
9.10,99.587
9.20,97.390
9.30,95.146
9.40,92.857
9.50,90.528
9.60,88.161
9.70,85.759
9.80,83.328
9.90,80.869
10.00,78.387
10.10,75.885
10.20,73.368
10.30,70.837
10.40,68.298
10.50,65.754
10.60,63.209
10.70,60.667
10.80,58.131
10.90,55.606
11.00,53.095
11.10,50.602
11.20,48.131
11.30,45.686
11.40,43.271
11.50,40.889
11.60,38.545
11.70,36.242
11.80,33.984
11.90,31.774
12.00,29.616
12.10,27.515
12.20,25.472
12.30,23.493
12.40,21.579
12.50,19.735
12.60,17.963
12.70,16.266
12.80,14.647
12.90,13.110
13.00,11.655
13.10,10.286
13.20,9.005
13.30,7.813
13.40,6.712
13.50,5.703
13.60,4.787
13.70,3.965
13.80,3.237
13.90,2.602
14.00,2.058
14.10,1.602
14.20,1.228
14.30,0.929
14.40,0.694
14.50,0.513
14.60,0.376
14.70,0.273
14.80,0.196
14.90,0.140
15.00,0.099
15.10,0.069
15.20,0.047
15.30,0.000
15.40,0.000
15.50,0.000
