Te_MeV,EventRate_per_bin
3.740000000000000213e+00,3.617902863264149346e+04
4.240000000000000213e+00,3.405687695000836538e+04
4.740000000000000213e+00,3.147278171489683155e+04
5.240000000000000213e+00,2.862579236110946295e+04
5.740000000000000213e+00,2.567988241822802593e+04
6.240000000000000213e+00,2.273705973453951447e+04
6.740000000000000213e+00,1.986212164015485905e+04
7.240000000000000213e+00,1.710463532885045424e+04
7.740000000000000213e+00,1.450648401801963337e+04
8.240000000000000213e+00,1.210258438612525424e+04
8.740000000000000213e+00,9.920104281581707255e+03
9.240000000000000213e+00,7.977710991169263252e+03
9.740000000000000213e+00,6.285144911680514269e+03
1.024000000000000021e+01,4.843196875070069837e+03
1.074000000000000021e+01,3.644143668035773771e+03
1.124000000000000021e+01,2.672670208192213522e+03
1.174000000000000021e+01,1.907262166273072353e+03
1.224000000000000021e+01,1.321988164505842633e+03
1.274000000000000021e+01,8.885199254280279320e+02
1.324000000000000021e+01,5.781815993188437233e+02
1.399000000000000021e+01,5.849310214026343147e+02
1.499000000000000021e+01,2.034160812301107910e+02
1.748999999999999844e+01,8.440804251642033762e+01
