Te_MeV,EventRate_per_bin
3.740000000000000213e+00,2.113520648276213251e+04
4.240000000000000213e+00,1.983707273927962160e+04
4.740000000000000213e+00,1.828609234238932549e+04
5.240000000000000213e+00,1.659581825489895346e+04
5.740000000000000213e+00,1.485938722097777827e+04
6.240000000000000213e+00,1.313405136030542235e+04
6.740000000000000213e+00,1.145563225709198923e+04
7.240000000000000213e+00,9.851308629928125811e+03
7.740000000000000213e+00,8.343995004474028974e+03
8.240000000000000213e+00,6.952746764956315928e+03
8.740000000000000213e+00,5.692292832122326217e+03
9.240000000000000213e+00,4.572586184748448431e+03
9.740000000000000213e+00,3.598544391162076863e+03
1.024000000000000021e+01,2.770027381230383526e+03
1.074000000000000021e+01,2.082084846825068780e+03
1.124000000000000021e+01,1.525488335492766737e+03
1.174000000000000021e+01,1.087535329093832843e+03
1.224000000000000021e+01,7.530748147741932144e+02
1.274000000000000021e+01,5.056642807656086802e+02
1.324000000000000021e+01,3.287372975150682350e+02
1.399000000000000021e+01,3.321429531751970217e+02
1.499000000000000021e+01,1.152821298202020444e+02
1.748999999999999844e+01,4.767105016114223304e+01
