dm2,tan2theta,chi2
9.999999999999999124e-06,9.999999999999999167e-02,1.224009777284475433e+02
9.999999999999999124e-06,1.178768634793587178e-01,2.166103361112070047e+02
9.999999999999999124e-06,1.389495494373137463e-01,1.952367659175490360e+02
9.999999999999999124e-06,1.637893706954064166e-01,3.299489308769285856e+01
9.999999999999999124e-06,1.930697728883249975e-01,2.383315565927638602e+01
9.999999999999999124e-06,2.275845926074788195e-01,2.563058474928576302e+01
9.999999999999999124e-06,2.682695795279725903e-01,1.529247510858061432e+01
9.999999999999999124e-06,3.162277660168379412e-01,1.512316400732790811e+01
9.999999999999999124e-06,3.727593720314940073e-01,1.127957118047629592e+01
9.999999999999999124e-06,4.393970560760790400e-01,2.791470562500958508e+01
9.999999999999999124e-06,5.179474679231209633e-01,4.003228281828242530e+01
9.999999999999999124e-06,6.105402296585328292e-01,6.785114398895697718e+01
9.999999999999999124e-06,7.196856730011519376e-01,1.141530311762784038e+02
9.999999999999999124e-06,8.483428982440718302e-01,1.677337324667668668e+02
9.999999999999999124e-06,1.000000000000000000e+00,2.453111455912807344e+02
1.178768634793586505e-05,9.999999999999999167e-02,1.905759954565664600e+02
1.178768634793586505e-05,1.178768634793587178e-01,2.328989727086271273e+02
1.178768634793586505e-05,1.389495494373137463e-01,1.335867457796736630e+02
1.178768634793586505e-05,1.637893706954064166e-01,2.559986749405108597e+01
1.178768634793586505e-05,1.930697728883249975e-01,3.193205176913727783e+01
1.178768634793586505e-05,2.275845926074788195e-01,4.681223973796220861e+01
1.178768634793586505e-05,2.682695795279725903e-01,3.161832813420339505e+01
1.178768634793586505e-05,3.162277660168379412e-01,1.777065281164382782e+01
1.178768634793586505e-05,3.727593720314940073e-01,1.426796313030445518e+01
1.178768634793586505e-05,4.393970560760790400e-01,2.475214667993314777e+01
1.178768634793586505e-05,5.179474679231209633e-01,2.883762862796841375e+01
1.178768634793586505e-05,6.105402296585328292e-01,5.611326612291319549e+01
1.178768634793586505e-05,7.196856730011519376e-01,9.565123215664121403e+01
1.178768634793586505e-05,8.483428982440718302e-01,1.546054117140076016e+02
1.178768634793586505e-05,1.000000000000000000e+00,2.432804721270195216e+02
1.389495494373138805e-05,9.999999999999999167e-02,1.682378588415140541e+02
1.389495494373138805e-05,1.178768634793587178e-01,1.739629818085415423e+02
1.389495494373138805e-05,1.389495494373137463e-01,8.986369600311593331e+01
1.389495494373138805e-05,1.637893706954064166e-01,4.933304597339576958e+01
1.389495494373138805e-05,1.930697728883249975e-01,4.997997090428535216e+01
1.389495494373138805e-05,2.275845926074788195e-01,4.059362603943053927e+01
1.389495494373138805e-05,2.682695795279725903e-01,2.499593791084430450e+01
1.389495494373138805e-05,3.162277660168379412e-01,1.456923816911484693e+01
1.389495494373138805e-05,3.727593720314940073e-01,8.128277360995149081e+00
1.389495494373138805e-05,4.393970560760790400e-01,7.178666371616467146e+00
1.389495494373138805e-05,5.179474679231209633e-01,1.890482607243169610e+01
1.389495494373138805e-05,6.105402296585328292e-01,4.155621068732347823e+01
1.389495494373138805e-05,7.196856730011519376e-01,8.496859731420977369e+01
1.389495494373138805e-05,8.483428982440718302e-01,1.527724455609542815e+02
1.389495494373138805e-05,1.000000000000000000e+00,2.434987478386549924e+02
1.637893706954064388e-05,9.999999999999999167e-02,9.898544939365569917e+01
1.637893706954064388e-05,1.178768634793587178e-01,1.281955360905536736e+02
1.637893706954064388e-05,1.389495494373137463e-01,1.081355214740279962e+02
1.637893706954064388e-05,1.637893706954064166e-01,7.009475486292051016e+01
1.637893706954064388e-05,1.930697728883249975e-01,5.375210132639467986e+01
1.637893706954064388e-05,2.275845926074788195e-01,5.131833945852156376e+01
1.637893706954064388e-05,2.682695795279725903e-01,2.953661253620813198e+01
1.637893706954064388e-05,3.162277660168379412e-01,2.245458066648368245e+01
1.637893706954064388e-05,3.727593720314940073e-01,1.028320658552434708e+01
1.637893706954064388e-05,4.393970560760790400e-01,7.082881279769297045e+00
1.637893706954064388e-05,5.179474679231209633e-01,1.363715122135269553e+01
1.637893706954064388e-05,6.105402296585328292e-01,3.792148068858657695e+01
1.637893706954064388e-05,7.196856730011519376e-01,8.270098517284169759e+01
1.637893706954064388e-05,8.483428982440718302e-01,1.515184742195021670e+02
1.637893706954064388e-05,1.000000000000000000e+00,2.438133112486922300e+02
1.930697728883249591e-05,9.999999999999999167e-02,8.206485650386699149e+01
1.930697728883249591e-05,1.178768634793587178e-01,1.210930763208251761e+02
1.930697728883249591e-05,1.389495494373137463e-01,1.298443027320467422e+02
1.930697728883249591e-05,1.637893706954064166e-01,1.278016354414956766e+02
1.930697728883249591e-05,1.930697728883249975e-01,1.181046570433640710e+02
1.930697728883249591e-05,2.275845926074788195e-01,9.353874472725514977e+01
1.930697728883249591e-05,2.682695795279725903e-01,6.360934865649618075e+01
1.930697728883249591e-05,3.162277660168379412e-01,3.184338323295485296e+01
1.930697728883249591e-05,3.727593720314940073e-01,1.334982211387429807e+01
1.930697728883249591e-05,4.393970560760790400e-01,8.093749983532889658e+00
1.930697728883249591e-05,5.179474679231209633e-01,1.293279861054098134e+01
1.930697728883249591e-05,6.105402296585328292e-01,3.732954491366213290e+01
1.930697728883249591e-05,7.196856730011519376e-01,8.335425609492057220e+01
1.930697728883249591e-05,8.483428982440718302e-01,1.518815632652799934e+02
1.930697728883249591e-05,1.000000000000000000e+00,2.434226393347766191e+02
2.275845926074786477e-05,9.999999999999999167e-02,1.550335185277716903e+02
2.275845926074786477e-05,1.178768634793587178e-01,2.121650565699006563e+02
2.275845926074786477e-05,1.389495494373137463e-01,2.051137669934383325e+02
2.275845926074786477e-05,1.637893706954064166e-01,2.026129175349623779e+02
2.275845926074786477e-05,1.930697728883249975e-01,1.249759323520947589e+02
2.275845926074786477e-05,2.275845926074788195e-01,9.143053601165294708e+01
2.275845926074786477e-05,2.682695795279725903e-01,6.608010969222540609e+01
2.275845926074786477e-05,3.162277660168379412e-01,3.223680057310729552e+01
2.275845926074786477e-05,3.727593720314940073e-01,1.154291599508796295e+01
2.275845926074786477e-05,4.393970560760790400e-01,7.068503834292977572e+00
2.275845926074786477e-05,5.179474679231209633e-01,1.339694666682618340e+01
2.275845926074786477e-05,6.105402296585328292e-01,3.756994806056847125e+01
2.275845926074786477e-05,7.196856730011519376e-01,8.455046725714127831e+01
2.275845926074786477e-05,8.483428982440718302e-01,1.513118221596228068e+02
2.275845926074786477e-05,1.000000000000000000e+00,2.436568162842819163e+02
2.682695795279727390e-05,9.999999999999999167e-02,2.218366681497782906e+02
2.682695795279727390e-05,1.178768634793587178e-01,2.032113269941298483e+02
2.682695795279727390e-05,1.389495494373137463e-01,1.693037234239566828e+02
2.682695795279727390e-05,1.637893706954064166e-01,1.888053007021123904e+02
2.682695795279727390e-05,1.930697728883249975e-01,9.626037991852885511e+01
2.682695795279727390e-05,2.275845926074788195e-01,8.942030189230054305e+01
2.682695795279727390e-05,2.682695795279725903e-01,6.253484748612426358e+01
2.682695795279727390e-05,3.162277660168379412e-01,3.330038791887175620e+01
2.682695795279727390e-05,3.727593720314940073e-01,8.974231205672651868e+00
2.682695795279727390e-05,4.393970560760790400e-01,6.291084262697451024e+00
2.682695795279727390e-05,5.179474679231209633e-01,1.332958843324863274e+01
2.682695795279727390e-05,6.105402296585328292e-01,3.622992976108598384e+01
2.682695795279727390e-05,7.196856730011519376e-01,8.247364467297499857e+01
2.682695795279727390e-05,8.483428982440718302e-01,1.501706757064476676e+02
2.682695795279727390e-05,1.000000000000000000e+00,2.441590685676122803e+02
3.162277660168379530e-05,9.999999999999999167e-02,2.302398308974313466e+02
3.162277660168379530e-05,1.178768634793587178e-01,1.659379163340584569e+02
3.162277660168379530e-05,1.389495494373137463e-01,1.196859186194025995e+02
3.162277660168379530e-05,1.637893706954064166e-01,1.436161004824825227e+02
3.162277660168379530e-05,1.930697728883249975e-01,7.868343472033261321e+01
3.162277660168379530e-05,2.275845926074788195e-01,9.808387177208209096e+01
3.162277660168379530e-05,2.682695795279725903e-01,6.469666559795524563e+01
3.162277660168379530e-05,3.162277660168379412e-01,3.486541309423658674e+01
3.162277660168379530e-05,3.727593720314940073e-01,9.895904816769263590e+00
3.162277660168379530e-05,4.393970560760790400e-01,7.672024500685136417e+00
3.162277660168379530e-05,5.179474679231209633e-01,1.287128436577200929e+01
3.162277660168379530e-05,6.105402296585328292e-01,3.486509519087925923e+01
3.162277660168379530e-05,7.196856730011519376e-01,8.012214724961029333e+01
3.162277660168379530e-05,8.483428982440718302e-01,1.494187587953505556e+02
3.162277660168379530e-05,1.000000000000000000e+00,2.419491839430107518e+02
3.727593720314938141e-05,9.999999999999999167e-02,1.876971036680220095e+02
3.727593720314938141e-05,1.178768634793587178e-01,1.788182331512092844e+02
3.727593720314938141e-05,1.389495494373137463e-01,1.383990471247057599e+02
3.727593720314938141e-05,1.637893706954064166e-01,9.876156477872382311e+01
3.727593720314938141e-05,1.930697728883249975e-01,1.074897734184674931e+02
3.727593720314938141e-05,2.275845926074788195e-01,1.223701046360713462e+02
3.727593720314938141e-05,2.682695795279725903e-01,6.586569874551180703e+01
3.727593720314938141e-05,3.162277660168379412e-01,3.914231786271911062e+01
3.727593720314938141e-05,3.727593720314940073e-01,1.321329419523040372e+01
3.727593720314938141e-05,4.393970560760790400e-01,7.244205248926686380e+00
3.727593720314938141e-05,5.179474679231209633e-01,1.268737619415475848e+01
3.727593720314938141e-05,6.105402296585328292e-01,3.574014611130147046e+01
3.727593720314938141e-05,7.196856730011519376e-01,8.200930099747751001e+01
3.727593720314938141e-05,8.483428982440718302e-01,1.491187771066401524e+02
3.727593720314938141e-05,1.000000000000000000e+00,2.437090916521055419e+02
4.393970560760786573e-05,9.999999999999999167e-02,1.611759812849276727e+02
4.393970560760786573e-05,1.178768634793587178e-01,2.225876545377369098e+02
4.393970560760786573e-05,1.389495494373137463e-01,2.313613705155045750e+02
4.393970560760786573e-05,1.637893706954064166e-01,8.576740858638251552e+01
4.393970560760786573e-05,1.930697728883249975e-01,1.213712755383183151e+02
4.393970560760786573e-05,2.275845926074788195e-01,1.154021115435102445e+02
4.393970560760786573e-05,2.682695795279725903e-01,5.741532588871985610e+01
4.393970560760786573e-05,3.162277660168379412e-01,3.827078468223372454e+01
4.393970560760786573e-05,3.727593720314940073e-01,1.511966097150826371e+01
4.393970560760786573e-05,4.393970560760790400e-01,7.263032324287301833e+00
4.393970560760786573e-05,5.179474679231209633e-01,1.266992814983774807e+01
4.393970560760786573e-05,6.105402296585328292e-01,3.572028748862248193e+01
4.393970560760786573e-05,7.196856730011519376e-01,8.112775950191975483e+01
4.393970560760786573e-05,8.483428982440718302e-01,1.485157946810583951e+02
4.393970560760786573e-05,1.000000000000000000e+00,2.439118976731924135e+02
5.179474679231212499e-05,9.999999999999999167e-02,1.792678836792287029e+02
5.179474679231212499e-05,1.178768634793587178e-01,2.556305526028329211e+02
5.179474679231212499e-05,1.389495494373137463e-01,2.084564246353529882e+02
5.179474679231212499e-05,1.637893706954064166e-01,7.622064169902282060e+01
5.179474679231212499e-05,1.930697728883249975e-01,1.260136623323352296e+02
5.179474679231212499e-05,2.275845926074788195e-01,1.215260364295206443e+02
5.179474679231212499e-05,2.682695795279725903e-01,6.019199025800791247e+01
5.179474679231212499e-05,3.162277660168379412e-01,4.531811661315519757e+01
5.179474679231212499e-05,3.727593720314940073e-01,1.770547123897170039e+01
5.179474679231212499e-05,4.393970560760790400e-01,8.102039445916835447e+00
5.179474679231212499e-05,5.179474679231209633e-01,1.296053374437215844e+01
5.179474679231212499e-05,6.105402296585328292e-01,3.415167033125103302e+01
5.179474679231212499e-05,7.196856730011519376e-01,8.025016183665297831e+01
5.179474679231212499e-05,8.483428982440718302e-01,1.487236579214504673e+02
5.179474679231212499e-05,1.000000000000000000e+00,2.437568458555291500e+02
6.105402296585326076e-05,9.999999999999999167e-02,1.633398887247362552e+02
6.105402296585326076e-05,1.178768634793587178e-01,2.335613806367964855e+02
6.105402296585326076e-05,1.389495494373137463e-01,1.945234671529794923e+02
6.105402296585326076e-05,1.637893706954064166e-01,9.300095242096907100e+01
6.105402296585326076e-05,1.930697728883249975e-01,1.402953836098280362e+02
6.105402296585326076e-05,2.275845926074788195e-01,1.208962144046342644e+02
6.105402296585326076e-05,2.682695795279725903e-01,4.823113967845998218e+01
6.105402296585326076e-05,3.162277660168379412e-01,4.808213464475291943e+01
6.105402296585326076e-05,3.727593720314940073e-01,1.623336063725603751e+01
6.105402296585326076e-05,4.393970560760790400e-01,7.539178715296394273e+00
6.105402296585326076e-05,5.179474679231209633e-01,1.246427282230266087e+01
6.105402296585326076e-05,6.105402296585328292e-01,3.367365852179140262e+01
6.105402296585326076e-05,7.196856730011519376e-01,8.035128419794732224e+01
6.105402296585326076e-05,8.483428982440718302e-01,1.481020948483676136e+02
6.105402296585326076e-05,1.000000000000000000e+00,2.436924285064373521e+02
7.196856730011512730e-05,9.999999999999999167e-02,1.881179292793889317e+02
7.196856730011512730e-05,1.178768634793587178e-01,2.317521238504040753e+02
7.196856730011512730e-05,1.389495494373137463e-01,1.912732791684312872e+02
7.196856730011512730e-05,1.637893706954064166e-01,1.050976185429376670e+02
7.196856730011512730e-05,1.930697728883249975e-01,1.476897552180007267e+02
7.196856730011512730e-05,2.275845926074788195e-01,1.127346769700075555e+02
7.196856730011512730e-05,2.682695795279725903e-01,3.927485325835498031e+01
7.196856730011512730e-05,3.162277660168379412e-01,4.736251180804642047e+01
7.196856730011512730e-05,3.727593720314940073e-01,1.391880759314681093e+01
7.196856730011512730e-05,4.393970560760790400e-01,6.602308274606023986e+00
7.196856730011512730e-05,5.179474679231209633e-01,1.310736552666302224e+01
7.196856730011512730e-05,6.105402296585328292e-01,3.387802809183703090e+01
7.196856730011512730e-05,7.196856730011519376e-01,8.024239602539549310e+01
7.196856730011512730e-05,8.483428982440718302e-01,1.483092518563611009e+02
7.196856730011512730e-05,1.000000000000000000e+00,2.437155820823254260e+02
8.483428982440725232e-05,9.999999999999999167e-02,2.035395976796768878e+02
8.483428982440725232e-05,1.178768634793587178e-01,1.927299307434707316e+02
8.483428982440725232e-05,1.389495494373137463e-01,1.394623737741348748e+02
8.483428982440725232e-05,1.637893706954064166e-01,1.580632629382442076e+02
8.483428982440725232e-05,1.930697728883249975e-01,1.236942300489103417e+02
8.483428982440725232e-05,2.275845926074788195e-01,1.002765012152759994e+02
8.483428982440725232e-05,2.682695795279725903e-01,4.721019049624127462e+01
8.483428982440725232e-05,3.162277660168379412e-01,4.384390067063100105e+01
