dm2,tan2theta,chi2
9.999999999999999124e-06,2.999999999999999889e-01,8.832782243176222892e+01
9.999999999999999124e-06,3.499999999999999778e-01,4.868498365034060527e+01
9.999999999999999124e-06,4.000000000000000222e-01,2.307686971562756639e+01
9.999999999999999124e-06,4.500000000000000111e-01,1.015521239276860044e+01
9.999999999999999124e-06,5.000000000000000000e-01,7.052355117545161534e+00
1.389495494373138805e-05,2.999999999999999889e-01,8.523212907999416643e+01
1.389495494373138805e-05,3.499999999999999778e-01,4.750236734347878809e+01
1.389495494373138805e-05,4.000000000000000222e-01,2.228686494524599837e+01
1.389495494373138805e-05,4.500000000000000111e-01,9.910793464752956083e+00
1.389495494373138805e-05,5.000000000000000000e-01,7.101556301698483509e+00
1.930697728883249591e-05,2.999999999999999889e-01,8.244056125171104554e+01
1.930697728883249591e-05,3.499999999999999778e-01,4.512084776473194836e+01
1.930697728883249591e-05,4.000000000000000222e-01,2.201598293917081506e+01
1.930697728883249591e-05,4.500000000000000111e-01,9.794241153852190962e+00
1.930697728883249591e-05,5.000000000000000000e-01,7.154543609506507806e+00
2.682695795279727390e-05,2.999999999999999889e-01,8.555101248872213660e+01
2.682695795279727390e-05,3.499999999999999778e-01,4.706795511444886415e+01
2.682695795279727390e-05,4.000000000000000222e-01,2.296277737493094051e+01
2.682695795279727390e-05,4.500000000000000111e-01,9.994682211779235104e+00
2.682695795279727390e-05,5.000000000000000000e-01,7.087542653228043221e+00
3.727593720314938141e-05,2.999999999999999889e-01,8.295860742686230083e+01
3.727593720314938141e-05,3.499999999999999778e-01,4.548192009646585632e+01
3.727593720314938141e-05,4.000000000000000222e-01,2.215717066740715069e+01
3.727593720314938141e-05,4.500000000000000111e-01,9.704345964980802819e+00
3.727593720314938141e-05,5.000000000000000000e-01,7.121788572550508789e+00
5.179474679231212499e-05,2.999999999999999889e-01,8.098229945329768498e+01
5.179474679231212499e-05,3.499999999999999778e-01,4.403857625853151347e+01
5.179474679231212499e-05,4.000000000000000222e-01,2.149283676896014939e+01
5.179474679231212499e-05,4.500000000000000111e-01,9.435145559119519021e+00
5.179474679231212499e-05,5.000000000000000000e-01,7.208862727945781756e+00
7.196856730011512730e-05,2.999999999999999889e-01,7.794666743206384751e+01
7.196856730011512730e-05,3.499999999999999778e-01,4.044878897669615014e+01
7.196856730011512730e-05,4.000000000000000222e-01,1.966105425435477727e+01
7.196856730011512730e-05,4.500000000000000111e-01,8.863721792413215894e+00
7.196856730011512730e-05,5.000000000000000000e-01,7.292373164392472518e+00
9.999999999999999124e-05,2.999999999999999889e-01,7.066804329335218426e+01
9.999999999999999124e-05,3.499999999999999778e-01,3.618721304877887235e+01
9.999999999999999124e-05,4.000000000000000222e-01,1.667642548669177316e+01
9.999999999999999124e-05,4.500000000000000111e-01,7.955158250256081587e+00
9.999999999999999124e-05,5.000000000000000000e-01,7.781083474698514024e+00
