dm2,tan2theta,chi2
9.999999999999999124e-06,9.999999999999999167e-02,1.222078181869115383e+02
9.999999999999999124e-06,1.220300155651587587e-01,2.345728640938828846e+02
9.999999999999999124e-06,1.489132469883288623e-01,1.151843933362006851e+02
9.999999999999999124e-06,1.817188584784409922e-01,1.594560760076952022e+01
9.999999999999999124e-06,2.217515512860702975e-01,2.727998946961650617e+01
9.999999999999999124e-06,2.706034525503725474e-01,1.474892870474291762e+01
9.999999999999999124e-06,3.302174352670765312e-01,1.373807976364497208e+01
9.999999999999999124e-06,4.029643876552815307e-01,1.595838527640642823e+01
9.999999999999999124e-06,4.917375049777867324e-01,3.877568076776702810e+01
9.999999999999999124e-06,6.000673538641163596e-01,6.481848170531087305e+01
1.178768634793586505e-05,9.999999999999999167e-02,1.902428218085272817e+02
1.178768634793586505e-05,1.220300155651587587e-01,2.257391027600580742e+02
1.178768634793586505e-05,1.489132469883288623e-01,7.658120056727165093e+01
1.178768634793586505e-05,1.817188584784409922e-01,1.489814324271041635e+01
1.178768634793586505e-05,2.217515512860702975e-01,4.679813578796300533e+01
1.178768634793586505e-05,2.706034525503725474e-01,3.012074810341321296e+01
1.178768634793586505e-05,3.302174352670765312e-01,1.631374599106855783e+01
1.178768634793586505e-05,4.029643876552815307e-01,2.004900293269011513e+01
1.178768634793586505e-05,4.917375049777867324e-01,2.550279488802172523e+01
1.178768634793586505e-05,6.000673538641163596e-01,5.190790862994939658e+01
1.389495494373138805e-05,9.999999999999999167e-02,1.678502912289744984e+02
1.389495494373138805e-05,1.220300155651587587e-01,1.622388261177487152e+02
1.389495494373138805e-05,1.489132469883288623e-01,6.906621237526189816e+01
1.389495494373138805e-05,1.817188584784409922e-01,3.669808725195987620e+01
1.389495494373138805e-05,2.217515512860702975e-01,4.090546334185469135e+01
1.389495494373138805e-05,2.706034525503725474e-01,2.389602929716685864e+01
1.389495494373138805e-05,3.302174352670765312e-01,1.372584780520229764e+01
1.389495494373138805e-05,4.029643876552815307e-01,6.296104500224073419e+00
1.389495494373138805e-05,4.917375049777867324e-01,1.527755647768893255e+01
1.389495494373138805e-05,6.000673538641163596e-01,3.796677302642282825e+01
1.637893706954064388e-05,9.999999999999999167e-02,9.857468766451198405e+01
1.637893706954064388e-05,1.220300155651587587e-01,1.274277008368695761e+02
1.637893706954064388e-05,1.489132469883288623e-01,9.552183035000494726e+01
1.637893706954064388e-05,1.817188584784409922e-01,5.236616691838155191e+01
1.637893706954064388e-05,2.217515512860702975e-01,5.252622029786846980e+01
