dm2,tan2theta,chi2
9.999999999999999124e-06,9.999999999999999167e-02,1.300595644036962085e+03
9.999999999999999124e-06,1.291549665014883885e-01,1.308356097011773727e+03
9.999999999999999124e-06,1.668100537200058742e-01,9.635314290071012238e+02
9.999999999999999124e-06,2.154434690031883370e-01,5.536431722777322193e+02
9.999999999999999124e-06,2.782559402207124277e-01,3.256437776264326658e+02
9.999999999999999124e-06,3.593813663804627523e-01,1.131124749990489988e+02
9.999999999999999124e-06,4.641588833612778631e-01,1.461458992013931812e+01
9.999999999999999124e-06,5.994842503189408145e-01,1.025599063719266439e+02
9.999999999999999124e-06,7.742636826811268858e-01,4.477604409310632718e+02
9.999999999999999124e-06,1.000000000000000000e+00,1.071843394195111614e+03
1.291549665014882683e-05,9.999999999999999167e-02,1.341704406861063944e+03
1.291549665014882683e-05,1.291549665014883885e-01,1.215203705574749165e+03
1.291549665014882683e-05,1.668100537200058742e-01,1.020449066166290095e+03
1.291549665014882683e-05,2.154434690031883370e-01,5.589820766690339724e+02
1.291549665014882683e-05,2.782559402207124277e-01,2.849891887534435568e+02
1.291549665014882683e-05,3.593813663804627523e-01,1.161122399337462667e+02
1.291549665014882683e-05,4.641588833612778631e-01,1.395590109803216450e+01
1.291549665014882683e-05,5.994842503189408145e-01,1.034434157881952387e+02
1.291549665014882683e-05,7.742636826811268858e-01,4.476565011714207571e+02
1.291549665014882683e-05,1.000000000000000000e+00,1.072165228908652125e+03
1.668100537200059254e-05,9.999999999999999167e-02,1.585503190426643414e+03
1.668100537200059254e-05,1.291549665014883885e-01,1.121162742264193867e+03
1.668100537200059254e-05,1.668100537200058742e-01,9.427561811115551791e+02
1.668100537200059254e-05,2.154434690031883370e-01,5.964657697583381832e+02
1.668100537200059254e-05,2.782559402207124277e-01,2.740462916923129910e+02
1.668100537200059254e-05,3.593813663804627523e-01,1.121233148012428273e+02
1.668100537200059254e-05,4.641588833612778631e-01,1.473873630972875937e+01
1.668100537200059254e-05,5.994842503189408145e-01,1.043952419847115038e+02
