E,flux_spectrum,lambda_B,lambda_hep
0.018784,0.011625364000000001,0.0,1.4753e-06
0.037567,162.32438333600004,3.091009000000001e-05,5.8897e-06
0.056351,355.44028588000003,6.768306e-05,1.3226e-05
0.075135,618.2640074599998,0.00011772934999999997,2.3467e-05
0.093919,947.72686235,0.000180464475,3.6595e-05
0.1127,1340.42444072,0.00025524,5.2594e-05
0.13149,1792.89566948,0.00034139669999999996,7.1446e-05
0.15027,2301.9005162999993,0.00043831744999999985,9.3135e-05
0.16905,2864.8020032000004,0.0005455000000000001,0.00011764
0.18784,3478.511206,0.000662356,0.00014495
0.20662,4138.936943999999,0.0007881062,0.00017505
0.2254,4843.2460808,0.0009222109999999999,0.00020791
0.24419,5588.7293539,0.00106415435,0.00024353
0.26297,6369.9386018999985,0.0012128985499999998,0.00028188
0.28176,7182.915167199999,0.0013676895999999998,0.00032294
0.30054,8017.472999799998,0.0015265872999999997,0.00036671
0.31932,8855.4035508,0.0016861234,0.00041316
0.33811,9708.0628327,0.00184846095,0.00046229
0.35689,10717.331517800003,0.0020406249000000003,0.00051406
0.37567,11780.743177300003,0.0022430978500000004,0.00056846
0.39446,12883.895486199997,0.0024531364999999996,0.00062549
0.41324,14021.0475168,0.0026696474,0.00068511
0.43203,15196.774906600003,0.0028935021000000005,0.00074732
0.45081,16423.0810192,0.003126987,0.00081209
0.46959,17696.1588171,0.00336937695,0.00087942
0.48838,19006.2029802,0.0036188043,0.00094929
0.50716,20347.416196000006,0.003874164800000001,0.0010217
0.52594,21721.458382999994,0.004135774699999999,0.0010966
0.54473,23144.4287445,0.00440670065,0.0011739
0.56351,24621.895693999995,0.004688002999999999,0.0012538
0.5823,26136.318718000006,0.004976341000000001,0.0013361
0.60108,27683.812554,0.0052709746,0.0014208
0.61986,29261.525926999995,0.005571360699999999,0.0015079
0.63865,30883.669800000003,0.005880206000000001,0.0015975
0.65743,32547.846759499997,0.006197054149999999,0.0016894
0.67621,34245.975218499996,0.006520365649999999,0.0017837
0.695,35977.448802,0.006850024999999999,0.0018804
0.71378,37738.130247,0.0071852443,0.0019794
0.73257,39533.909266500006,0.0075271452500000014,0.0020808
0.75135,41363.82432199999,0.007875545,0.0021844
0.77013,43225.6704145,0.00823002325,0.0022904
0.78892,45117.574867999996,0.008590223599999999,0.0023986
0.8077,47034.79667,0.008955243,0.002509
0.82648,48981.79018400001,0.009325929600000001,0.0026218
0.84527,50966.88715850001,0.00970387085,0.0027367
0.86405,52980.771732,0.010087292000000001,0.0028539
0.88284,55021.896466,0.0104758986,0.0029732
0.90162,57086.542524,0.010868982,0.0030948
0.9204,59168.96377999999,0.011265447999999999,0.0032185
0.93919,61302.714034000004,0.0116716878,0.0033443
0.95797,63463.177611499996,0.01208301255,0.0034723
0.97675,65648.215662,0.012499015,0.0036024
0.99554,67857.247273,0.0129195845,0.0037346
1.0143,70080.08271999999,0.013342779999999999,0.003869
1.0331,72345.82038899999,0.013774144499999997,0.0040053
1.0519,74642.007019,0.0142113055,0.0041438
1.0707,76961.02774599999,0.014652812999999999,0.0042842
1.0895,79301.45614599998,0.015098394999999995,0.0044267
1.1082,81648.32105599999,0.015545199999999999,0.0045712
1.127,84033.710476,0.015999339999999997,0.0047177
1.1458,86451.985906,0.016459741,0.0048662
1.1646,88891.18784600003,0.016924125000000005,0.0050167
1.1834,91351.12125800001,0.017392455,0.0051691
1.2022,93829.434142,0.017864282999999998,0.0053234
1.2209,96312.66366100003,0.018337044500000003,0.0054797
1.2397,98841.122989,0.0188184185,0.0056378
1.2585,101389.50870199999,0.019303584999999998,0.0057979
1.2773,103956.39647400002,0.019792273000000003,0.0059598
1.2961,106540.51134299999,0.0202842395,0.0061236
1.3149,109141.73439599997,0.020779461999999995,0.0062892
1.3336,111751.83179599998,0.021276371999999995,0.0064567
1.3524,114395.07088000001,0.021779592,0.006626
1.3712,117054.24214799999,0.022285844,0.0067971
1.39,119727.885312,0.02279485,0.0069699
1.4088,122416.78866000002,0.023306760000000003,0.0071445
1.4276,125126.328192,0.023822598,0.0073209
1.4463,127843.310658,0.024339851,0.0074991
1.4651,130589.64273200002,0.024862692000000002,0.0076789
1.4839,133349.23474,0.025388056000000003,0.0078605
1.5027,136120.848731,0.0259157075,0.0080437
1.5215,138909.925281,0.026446682500000002,0.0082287
1.5403,141720.124689,0.026981678499999998,0.0084153
1.559,144528.92182999998,0.027516404999999997,0.0086035
1.5778,147364.89324200002,0.028056305,0.0087934
1.5966,150211.58279999997,0.028598244,0.008985
1.6154,153072.54842799998,0.029142899999999996,0.0091781
1.6342,155949.80166400006,0.029690656000000006,0.0093728
1.653,158839.94575800005,0.030240865000000006,0.0095691
1.6718,161740.41346,0.030793038000000002,0.009767
1.6905,164634.54914500003,0.0313440025,0.0099665
1.7093,167555.596335,0.031900091500000005,0.010167
1.7281,170490.09797499998,0.0324587395,0.01037
1.7469,173435.73224499996,0.0330195065,0.010574
1.7657,176389.69039500004,0.033581857500000006,0.010779
1.7845,179350.79905499995,0.034145567499999994,0.010986
1.8032,182302.6126,0.03470750399999999,0.011195
1.822,185288.24140000003,0.03527588,0.011405
1.8408,188284.79808,0.035846336,0.011616
1.8596,191288.93051999997,0.036418231999999995,0.011829
1.8784,194299.34984000004,0.036991324000000006,0.012043
1.8972,197312.17892,0.037564872,0.012259
1.9159,200325.90313000002,0.038138589,0.012476
1.9347,203364.486095,0.0387170395,0.012694
1.9535,206408.95169500003,0.039296607500000004,0.012914
1.9723,209458.323425,0.0398771085,0.013135
1.9911,212509.70066,0.04045799,0.013357
