# Energy_bin_center(MeV),Event_rate(day^-1 22.5kt^-1 0.5MeV^-1),Statistical_error(day^-1 22.5kt^-1 0.5MeV^-1)
3.724288961727067804e+00,5.717158851192086111e+00,2.500000000000000000e-01
4.199124606291112727e+00,5.039060929794696442e+00,2.500000000000000000e-01
4.735229630163854786e+00,4.860534736926559241e+00,2.500000000000000000e-01
5.240699964382248055e+00,4.132263362082331248e+00,2.500000000000000000e-01
5.730853830235624002e+00,3.708434139402756902e+00,2.500000000000000000e-01
6.236323580145912260e+00,3.268589408555974352e+00,2.500000000000000000e-01
6.726477445999288207e+00,2.933342654722132181e+00,2.500000000000000000e-01
7.231947195909575576e+00,2.539216125947393987e+00,2.500000000000000000e-01
7.737418114436074745e+00,2.158756997562454760e+00,2.500000000000000000e-01
8.242887864346361226e+00,1.738636985296734494e+00,2.500000000000000000e-01
8.733041730199738950e+00,1.425761386858530821e+00,2.500000000000000000e-01
9.238511480110027208e+00,1.127766591785060557e+00,2.500000000000000000e-01
9.728665345963403155e+00,8.604502090027554839e-01,2.500000000000000000e-01
1.023413509587369141e+01,6.806096788368599659e-01,2.500000000000000000e-01
1.073960601440019147e+01,5.192836396026965229e-01,2.500000000000000000e-01
1.122975871163735562e+01,3.753293467067790878e-01,2.500000000000000000e-01
1.173522963016385567e+01,2.863644101281074272e-01,2.500000000000000000e-01
1.222538232740101982e+01,1.891308748044946975e-01,2.500000000000000000e-01
1.273085324592751988e+01,1.271857923075453978e-01,2.500000000000000000e-01
1.323632416445401638e+01,8.400052279914159425e-02,2.500000000000000000e-01
1.398687026298289027e+01,4.716601342402890196e-02,2.500000000000000000e-01
1.499781093141967681e+01,1.717855630744940035e-02,2.500000000000000000e-01
