E,lambda_eff,lambda_B,lambda_hep
0.02,8.590475116882619e-06,8.6e-06,1.7610855720598417e-06
0.04,3.3962172879123524e-05,3.4e-05,6.839935194846677e-06
0.06,7.511645661800735e-05,7.52e-05,1.5215427651192505e-05
0.08,0.00013125441204998208,0.0001314,2.6867112862010226e-05
0.1,0.00020167698657810472,0.0002019,4.177523103136149e-05
0.12,0.0002855852641851312,0.0002859,5.991808728046833e-05
0.14,0.0003820804684103522,0.0003825,8.127418903088393e-05
0.16,0.0004906632783732209,0.0004912,0.0001058311474973376
0.18,0.0006105347610928411,0.0006112,0.0001335550878126663
0.2,0.000740896021937282,0.0007417,0.00016443966986155484
0.22,0.0008809481424365795,0.0008819,0.00019846143769968052
0.24,0.001030091911820446,0.0010312,0.00023558706226716337
0.26,0.0011872288600506752,0.0011885,0.0002758150638977636
0.28,0.0013513603082833737,0.0013528,0.0003190940393826504
0.3,0.0015203892195184544,0.001522,0.00036545143769968057
0.32,0.0016901215139500554,0.0016919,0.00041493798829164453
0.34,0.0018628539135912025,0.0018648,0.00046750007987220453
0.36,0.0020708413366161233,0.002073,0.0005230687326943557
0.38,0.0022877204932733324,0.0022901,0.0005816020915380522
0.4,0.0025129920484970297,0.0025156,0.0006430775825346114
0.42,0.002745457667772349,0.0027483,0.0007074910324640765
0.44,0.00298661521343548,0.0029897,0.0007748075878594248
0.46,0.00324035926868889,0.0032437,0.0008450379605963792
0.48,0.003502196027212475,0.0035058,0.0009181292442788717
0.5,0.0037716262017680894,0.0037755,0.000994093205537806
0.52,0.004046952131810352,0.0040511,0.001072909584664537
0.54,0.004331768612524952,0.0043362,0.0011544412985630655
0.56,0.004629571017574381,0.0046343,0.0012388666134185307
0.58,0.0049352662278225965,0.0049403,0.0013260260244811067
0.6,0.005248354952932731,0.0052537,0.0014159290734824283
0.62,0.005567938434997286,0.0055736,0.0015085675891431613
0.64,0.005896413560749371,0.0059024,0.0016041062300319487
0.66,0.006234179438472359,0.0062405,0.0017023047390841324
0.68,0.0065791390508290635,0.0065858,0.0018032046833422037
0.7,0.006931092609189398,0.0069381,0.0019067578274760382
0.72,0.0072894409519607,0.0072968,0.0020129661522086213
0.74,0.00765558207078515,0.0076633,0.0021217876464323746
0.76,0.00802921638474898,0.0080373,0.0022332232161874337
0.78,0.008409345234190947,0.0084178,0.0023472352315061207
0.8,0.008795569052439313,0.0088044,0.0024637348242811507
0.82,0.009186989311071052,0.0091962,0.0025828785942492013
0.84,0.009587001006844361,0.0095966,0.002704474188398084
0.86,0.009993706930314566,0.0100037,0.0028286252396166134
0.88,0.010406108246857794,0.0104165,0.0029551684938797238
0.9,0.010824005522754084,0.0108348,0.0030843105431309905
0.92,0.011245601005751952,0.0112568,0.003215865282215123
0.94,0.011677585347805568,0.0116892,0.003349820766773163
0.96,0.012115465075325257,0.0121275,0.003486362992545261
0.98,0.012558640709096435,0.0125711,0.0036252658861096326
1.0,0.013006712837960822,0.0130196,0.00376655223880597
1.02,0.013458283555147865,0.0134716,0.003910325
1.04,0.01391974331793549,0.0139335,0.004056132446808511
1.06,0.01438619939216388,0.0144004,0.004204291489361702
1.08,0.014857551763757392,0.0148722,0.004354692021276597
1.1,0.015333301828696518,0.0153484,0.004507836363636364
1.12,0.015812849625436727,0.0158284,0.004663152127659575
1.14,0.016300788394773533,0.0163168,0.004820386170212766
1.16,0.01679322403783599,0.0168097,0.004979875531914892
1.18,0.017290256301262526,0.0173072,0.00514153829787234
1.2,0.017791285977734085,0.0178087,0.005305343617021277
1.22,0.018296114579845466,0.018314,0.00547217754010695
1.24,0.01880773558218333,0.0188261,0.005640354787234042
1.26,0.01932345405740651,0.0193423,0.005810817553191489
1.28,0.019843169808622402,0.0198625,0.005983324468085106
1.3,0.020366583361815543,0.0203864,0.0061579531914893616
1.32,0.020893694965027052,0.020914,0.00633488181818182
1.34,0.021426102701410304,0.0214469,0.006514334042553193
1.36,0.02196220720915089,0.0219835,0.006695168085106384
1.38,0.022501609882612975,0.0225234,0.0068779851063829785
1.4,0.02304401112184114,0.0230663,0.007062772340425532
1.42,0.02359001017415891,0.0236128,0.0072495893617021264
1.44,0.024141605129462333,0.0241649,0.007439064705882353
1.46,0.024696497695392713,0.0247203,0.007630124468085106
1.48,0.025254388371962193,0.0252787,0.007822827659574467
1.5,0.02581467829437355,0.0258395,0.008017389361702128
1.52,0.02637866583281551,0.026404,0.008213939361702128
1.54,0.026947249517494633,0.0269731,0.008412322340425533
1.56,0.027518633335521958,0.027545,0.008613601063829789
1.58,0.02809261484366221,0.0281195,0.008815821276595744
1.6,0.02866889576803371,0.0286963,0.009019922340425533
1.62,0.029248374625508177,0.0292763,0.009225739361702128
1.64,0.029831450981963173,0.0298599,0.009433360638297871
1.66,0.03041702636942128,0.030446,0.009642786170212766
1.68,0.03100470199306337,0.0310342,0.009854481283422459
1.7,0.03159427725472018,0.0316243,0.010067816489361702
1.72,0.03218685026783959,0.0322174,0.010282537234042554
1.74,0.03278222198525905,0.0328133,0.010499127659574468
1.76,0.03337939276627785,0.033411,0.01071684574468085
1.78,0.03397836367027331,0.0340105,0.010936452127659575
1.8,0.03457813788452877,0.0346108,0.011159235294117649
1.82,0.035182007281428174,0.0352152,0.011382659574468086
