E_nu,Te_center,sigma_e,sigma_x
1.878399999999999861e-02,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.756700000000000317e-02,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.635099999999999831e-02,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.513499999999999346e-02,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.391900000000000248e-02,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.126999999999999946e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.314899999999999958e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.502699999999999869e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.690500000000000058e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.878400000000000070e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.066199999999999981e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.253999999999999893e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.441899999999999904e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.629699999999999815e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.817600000000000104e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.005399999999999738e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.193199999999999927e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.381100000000000216e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.568899999999999850e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.756700000000000039e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.944599999999999773e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.132399999999999962e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.320300000000000251e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.508099999999999885e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.695900000000000074e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.883799999999999808e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.071600000000000552e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.259399999999999631e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.447300000000000475e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.635099999999999554e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.823000000000000398e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.010799999999999477e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.198599999999999666e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.386500000000000510e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.574299999999999589e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.762099999999999778e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.949999999999999512e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.137799999999999701e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.325700000000000545e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.513499999999999623e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.701299999999999812e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.889199999999999546e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.076999999999999735e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.264799999999999924e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.452699999999999658e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.640499999999999847e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.828399999999999581e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.016199999999999770e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.203999999999999959e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.391899999999999693e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.579699999999999882e-01,3.738775759327168213e+00,0.000000000000000000e+00,0.000000000000000000e+00
