# E_nu,Te,sigma_e,sigma_x
5.000000000000000000e+00,5.250000000000000000e+00,1.259974746045518071e-45,1.936098629040597073e-46
5.517241379310345195e+00,5.250000000000000000e+00,2.107466721867655971e-45,3.219072940372021687e-46
6.034482758620689502e+00,5.250000000000000000e+00,2.918966026441631240e-45,4.445575021269184539e-46
6.551724137931034697e+00,5.250000000000000000e+00,3.564051057686083033e-45,5.427830039354971580e-46
7.068965517241379004e+00,5.250000000000000000e+00,4.010021690154063822e-45,6.123144535614317754e-46
7.586206896551724199e+00,5.250000000000000000e+00,4.288336301433707670e-45,6.580741875189691102e-46
8.103448275862069394e+00,5.250000000000000000e+00,4.450621732496498322e-45,6.876575863618974860e-46
8.620689655172414589e+00,5.250000000000000000e+00,4.542477110179452943e-45,7.075956026602900067e-46
9.137931034482758008e+00,5.250000000000000000e+00,4.595372238015826874e-45,7.222854905978681165e-46
9.655172413793103203e+00,5.250000000000000000e+00,4.628046306152630992e-45,7.342691132236722625e-46
1.017241379310344840e+01,5.250000000000000000e+00,4.650581520361393977e-45,7.448593997445620615e-46
1.068965517241379359e+01,5.250000000000000000e+00,4.668018398380712324e-45,7.546740708568802199e-46
1.120689655172413879e+01,5.250000000000000000e+00,4.682749657428031728e-45,7.639799030499957996e-46
1.172413793103448398e+01,5.250000000000000000e+00,4.695878727541574761e-45,7.728832911568968016e-46
1.224137931034482918e+01,5.250000000000000000e+00,4.707917166403312333e-45,7.814242178677865234e-46
1.275862068965517260e+01,5.250000000000000000e+00,4.719112110177652782e-45,7.896181565999803263e-46
1.327586206896551779e+01,5.250000000000000000e+00,4.729595024531559900e-45,7.974737501948627110e-46
1.379310344827586299e+01,5.250000000000000000e+00,4.739441919896698040e-45,8.049984652258945309e-46
1.431034482758620818e+01,5.250000000000000000e+00,4.748716506886592576e-45,8.122027206218142431e-46
1.482758620689655160e+01,5.250000000000000000e+00,4.757462791671159414e-45,8.190970518053856461e-46
1.534482758620689680e+01,5.250000000000000000e+00,4.765734894013716565e-45,8.256962282104469277e-46
1.586206896551724199e+01,5.250000000000000000e+00,4.773561224036362452e-45,8.320120633614392270e-46
1.637931034482758719e+01,5.250000000000000000e+00,4.780974489075995826e-45,8.380566742957903802e-46
1.689655172413793238e+01,5.250000000000000000e+00,4.788008707632487482e-45,8.438451135096897498e-46
1.741379310344827758e+01,5.250000000000000000e+00,4.794689158125235184e-45,8.493898736403429021e-46
1.793103448275861922e+01,5.250000000000000000e+00,4.801041804381870655e-45,8.547036694334842764e-46
1.844827586206896797e+01,5.250000000000000000e+00,4.807089554377281612e-45,8.597986665725690271e-46
1.896551724137930961e+01,5.250000000000000000e+00,4.812853308886292567e-45,8.646888857632105368e-46
1.948275862068965836e+01,5.250000000000000000e+00,4.818415786830887406e-45,8.693926994405384463e-46
2.000000000000000000e+01,5.250000000000000000e+00,4.823713950780852255e-45,8.739064917252481620e-46
5.000000000000000000e+00,5.750000000000000000e+00,6.468728157204480444e-46,9.918119357466289494e-47
5.517241379310345195e+00,5.750000000000000000e+00,1.328645872831460663e-45,2.022250808915283205e-46
6.034482758620689502e+00,5.750000000000000000e+00,2.142620124492413053e-45,3.245876669481190189e-46
6.551724137931034697e+00,5.750000000000000000e+00,2.919418451076533857e-45,4.413035430964552786e-46
7.068965517241379004e+00,5.750000000000000000e+00,3.543995627212752451e-45,5.358563945043377819e-46
7.586206896551724199e+00,5.750000000000000000e+00,3.984228686129165111e-45,6.039725629712389860e-46
8.103448275862069394e+00,5.750000000000000000e+00,4.265207724266537856e-45,6.495725362799488428e-46
8.620689655172414589e+00,5.750000000000000000e+00,4.432571032392818380e-45,6.793527490642626134e-46
9.137931034482758008e+00,5.750000000000000000e+00,4.528753888268245383e-45,6.993881402370491907e-46
9.655172413793103203e+00,5.750000000000000000e+00,4.584344517278865513e-45,7.139624091977414027e-46
1.017241379310344840e+01,5.750000000000000000e+00,4.618298583977994099e-45,7.256620276106143340e-46
1.068965517241379359e+01,5.750000000000000000e+00,4.641198348831846289e-45,7.358806051466055024e-46
1.120689655172413879e+01,5.750000000000000000e+00,4.658514521546131271e-45,7.453015574036469475e-46
1.172413793103448398e+01,5.750000000000000000e+00,4.672917400701309076e-45,7.542316784842724028e-46
1.224137931034482918e+01,5.750000000000000000e+00,4.685661687195104573e-45,7.627970081962805236e-46
1.275862068965517260e+01,5.750000000000000000e+00,4.697329184873681676e-45,7.710441521300722983e-46
1.327586206896551779e+01,5.750000000000000000e+00,4.708193275899965392e-45,7.789889253886719503e-46
1.379310344827586299e+01,5.750000000000000000e+00,4.718399015678962007e-45,7.866383580580841080e-46
1.431034482758620818e+01,5.750000000000000000e+00,4.728028948843654659e-45,7.939966207602714187e-46
1.482758620689655160e+01,5.750000000000000000e+00,4.737132722706592844e-45,8.010682912433035922e-46
1.534482758620689680e+01,5.750000000000000000e+00,4.745749773327452542e-45,8.078607844125601913e-46
1.586206896551724199e+01,5.750000000000000000e+00,4.753920264430187876e-45,8.143831935651706260e-46
1.637931034482758719e+01,5.750000000000000000e+00,4.761681780724393456e-45,8.206465455451302546e-46
1.689655172413793238e+01,5.750000000000000000e+00,4.769055604047809186e-45,8.266595573041173288e-46
1.741379310344827758e+01,5.750000000000000000e+00,4.776072645716163423e-45,8.324333196676735816e-46
1.793103448275861922e+01,5.750000000000000000e+00,4.782750304925343581e-45,8.379768883772557163e-46
1.844827586206896797e+01,5.750000000000000000e+00,4.789105905716613392e-45,8.433027233076090800e-46
1.896551724137930961e+01,5.750000000000000000e+00,4.795181534556087474e-45,8.484225312972827438e-46
1.948275862068965836e+01,5.750000000000000000e+00,4.800984758247586573e-45,8.533450833485786349e-46
2.000000000000000000e+01,5.750000000000000000e+00,4.806532943196638705e-45,8.580800517084002841e-46
5.000000000000000000e+00,6.250000000000000000e+00,2.757105777555392820e-46,4.221941824990981885e-47
5.517241379310345195e+00,6.250000000000000000e+00,7.186385946660517873e-46,1.091450879256747669e-46
6.034482758620689502e+00,6.250000000000000000e+00,1.390852710288984342e-45,2.099983213983672428e-46
6.551724137931034697e+00,6.250000000000000000e+00,2.174770263270100070e-45,3.271367913934987650e-46
7.068965517241379004e+00,6.250000000000000000e+00,2.920825496220050037e-45,4.386540432633355113e-46
7.586206896551724199e+00,6.250000000000000000e+00,3.526596314896720342e-45,5.298846646972271351e-46
8.103448275862069394e+00,6.250000000000000000e+00,3.960882552241005339e-45,5.966268355727709695e-46
8.620689655172414589e+00,6.250000000000000000e+00,4.243713668828891967e-45,6.420100394088361119e-46
9.137931034482758008e+00,6.250000000000000000e+00,4.415548341282950495e-45,6.719560672757724336e-46
9.655172413793103203e+00,6.250000000000000000e+00,4.515829028214235368e-45,6.921075957021270592e-46
1.017241379310344840e+01,6.250000000000000000e+00,4.574138643359858479e-45,7.066140865820778483e-46
1.068965517241379359e+01,6.250000000000000000e+00,4.609494521680863101e-45,7.180824482792261771e-46
1.120689655172413879e+01,6.250000000000000000e+00,4.632883901799505919e-45,7.279728193682360905e-46
1.172413793103448398e+01,6.250000000000000000e+00,4.650170162269385010e-45,7.370294697523296577e-46
1.224137931034482918e+01,6.250000000000000000e+00,4.664299232057869467e-45,7.456002087040737499e-46
1.275862068965517260e+01,6.250000000000000000e+00,4.676685043548329267e-45,7.538329962949290810e-46
1.327586206896551779e+01,6.250000000000000000e+00,4.687990642341003044e-45,7.617842151683740000e-46
1.379310344827586299e+01,6.250000000000000000e+00,4.698526427565664968e-45,7.694720770543266600e-46
1.431034482758620818e+01,6.250000000000000000e+00,4.708440795671710179e-45,7.769007245911826625e-46
1.482758620689655160e+01,6.250000000000000000e+00,4.717820049390682971e-45,7.840732420859398453e-46
1.534482758620689680e+01,6.250000000000000000e+00,4.726721619998368814e-45,7.909915835250200672e-46
