Te_MeV,EventRate_per_year_per_kt_per_0.5MeV
3.740000000000000213e+00,9.914842281222158249e+01
4.240000000000000213e+00,9.132387647780353745e+01
4.740000000000000213e+00,8.330928420087651887e+01
5.240000000000000213e+00,7.521067478318678923e+01
5.740000000000000213e+00,6.713975515070688971e+01
6.240000000000000213e+00,5.920869176361285469e+01
6.740000000000000213e+00,5.152884983310840283e+01
7.240000000000000213e+00,4.420843309100940388e+01
7.740000000000000213e+00,3.734700376355397111e+01
8.240000000000000213e+00,3.102917501473573125e+01
8.740000000000000213e+00,2.531996421570475775e+01
9.240000000000000213e+00,2.026237765878679653e+01
9.740000000000000213e+00,1.587652566664915277e+01
1.024000000000000021e+01,1.215962755086164293e+01
1.074000000000000021e+01,9.086945087597680271e+00
1.124000000000000021e+01,6.614002845815458720e+00
1.174000000000000021e+01,4.680260245798569585e+00
1.224000000000000021e+01,3.214034602254046025e+00
1.274000000000000021e+01,2.138155601812624873e+00
1.324000000000000021e+01,1.375632055018475519e+00
1.399000000000000021e+01,1.366517578744066874e+00
1.499000000000000021e+01,4.593680933648223164e-01
1.748999999999999844e+01,1.738707398670003845e-01
