Te_MeV,EventRate_per_day_per_21.5kt_per_0.5MeV
3.724288961727067804e+00,6.321080242347549394e+00
4.199124606291112727e+00,5.849039012168437246e+00
4.735229630163854786e+00,5.301071963327077086e+00
5.240699964382248055e+00,4.778227432934723851e+00
5.730853830235624002e+00,4.273463504056977058e+00
6.236323580145912260e+00,3.763078426910904106e+00
6.726477445999288207e+00,3.285092379818097541e+00
7.231947195909575576e+00,2.816361774633754145e+00
7.737418114436074745e+00,2.378157956036931253e+00
8.242887864346361226e+00,1.975457979771570116e+00
8.733041730199738950e+00,1.622440114508010955e+00
9.238511480110027208e+00,1.299460698329510944e+00
9.728665345963403155e+00,1.027143663287467312e+00
1.023413509587369141e+01,7.882287527729961996e-01
1.073960601440019147e+01,5.903066456968798503e-01
1.122975871163735562e+01,4.349140918777404941e-01
1.173522963016385567e+01,3.086790440899158661e-01
1.222538232740101982e+01,2.150881616308268907e-01
1.273085324592751988e+01,1.435885204436221363e-01
1.323632416445401638e+01,9.267175865427329517e-02
1.398687026298289027e+01,4.529817415951870735e-02
1.499781093141967681e+01,1.517557466464141205e-02
