Te_MeV,EventRate_per_day_per_22.5kt_per_bin
3.738775759327168213e+00,6.028135468896117288e+00
4.228571677694515252e+00,5.522795060567347925e+00
4.751020781847895336e+00,4.961456696759560359e+00
5.224489795918366930e+00,4.456998419148991530e+00
5.730611995774872014e+00,3.910895169177192709e+00
6.236735441246811895e+00,3.382055902891374366e+00
6.726531359614159378e+00,2.906912346364799227e+00
7.232653559470662685e+00,2.428788250475241384e+00
7.722449477838010168e+00,2.007617578540220382e+00
8.228571677694517916e+00,1.592672103307160469e+00
8.751020159040178825e+00,1.225779867899418729e+00
9.224489795918367818e+00,9.438731001407399956e-01
9.714285714285715301e+00,6.957130861874942784e-01
1.023673544124681278e+01,4.817469866584691562e-01
1.075918392259247547e+01,3.147096582853365354e-01
1.123265355947066446e+01,2.017544837726972795e-01
1.173877575932716866e+01,1.151945669819230689e-01
1.222857167769451614e+01,6.206431038074396167e-02
1.275102015904018060e+01,2.770857195160130251e-02
1.322448979591836959e+01,1.123267930800674920e-02
1.397550995495854842e+01,5.250219929651568813e-03
1.497142931879783134e+01,1.047477043133538191e-03
1.746938775510204067e+01,5.257068906902124736e-04
