dm2,tan2theta,chi2
9.999999999999999124e-06,9.999999999999999167e-02,1.152582749718423202e+03
9.999999999999999124e-06,1.291549665014883885e-01,1.143549793582667007e+03
9.999999999999999124e-06,1.668100537200058742e-01,8.192885413208505270e+02
9.999999999999999124e-06,2.154434690031883370e-01,4.514330954629166968e+02
9.999999999999999124e-06,2.782559402207124277e-01,2.536330522939843206e+02
9.999999999999999124e-06,3.593813663804627523e-01,7.774935000022124143e+01
9.999999999999999124e-06,4.641588833612778631e-01,1.688887436852843038e+01
9.999999999999999124e-06,5.994842503189408145e-01,1.254158002429131074e+02
9.999999999999999124e-06,7.742636826811268858e-01,4.708853113663218437e+02
9.999999999999999124e-06,1.000000000000000000e+00,1.071929551916681476e+03
1.291549665014882683e-05,9.999999999999999167e-02,1.097183043139321171e+03
1.291549665014882683e-05,1.291549665014883885e-01,9.785059655794151467e+02
1.291549665014882683e-05,1.668100537200058742e-01,7.916218106067813096e+02
1.291549665014882683e-05,2.154434690031883370e-01,4.017875876193535305e+02
1.291549665014882683e-05,2.782559402207124277e-01,1.875844395317932651e+02
1.291549665014882683e-05,3.593813663804627523e-01,6.356349424903867629e+01
1.291549665014882683e-05,4.641588833612778631e-01,1.750387232721603326e+01
1.291549665014882683e-05,5.994842503189408145e-01,1.397216223245440574e+02
1.291549665014882683e-05,7.742636826811268858e-01,4.854118219373556826e+02
1.291549665014882683e-05,1.000000000000000000e+00,1.073006578679511449e+03
1.668100537200059254e-05,9.999999999999999167e-02,1.173757474577369294e+03
1.668100537200059254e-05,1.291549665014883885e-01,7.785518016125629401e+02
1.668100537200059254e-05,1.668100537200058742e-01,6.201581307982143016e+02
1.668100537200059254e-05,2.154434690031883370e-01,3.546027952232242342e+02
1.668100537200059254e-05,2.782559402207124277e-01,1.343549237879674081e+02
1.668100537200059254e-05,3.593813663804627523e-01,4.230046092652595036e+01
1.668100537200059254e-05,4.641588833612778631e-01,2.386711672973227749e+01
1.668100537200059254e-05,5.994842503189408145e-01,1.624471884242322801e+02
1.668100537200059254e-05,7.742636826811268858e-01,5.029850320775664727e+02
