Te_MeV,EventRate_per_year_per_kt_per_0.5MeV
3.740000000000000213e+00,1.121706749810241206e+02
4.240000000000000213e+00,1.030647575373667735e+02
4.740000000000000213e+00,9.372707803392853521e+01
5.240000000000000213e+00,8.430657741982778930e+01
5.740000000000000213e+00,7.495489451645941870e+01
6.240000000000000213e+00,6.581917343496280637e+01
6.740000000000000213e+00,5.703641846425536244e+01
7.240000000000000213e+00,4.872907581228459861e+01
7.740000000000000213e+00,4.100141070673394239e+01
8.240000000000000213e+00,3.393659454831058753e+01
8.740000000000000213e+00,2.759457013555303817e+01
9.240000000000000213e+00,2.201072634118914095e+01
9.740000000000000213e+00,1.719548191719128027e+01
1.024000000000000021e+01,1.313490537671014913e+01
1.074000000000000021e+01,9.792496787393396573e+00
1.124000000000000021e+01,7.112211898234528817e+00
1.174000000000000021e+01,5.022686736669725427e+00
1.224000000000000021e+01,3.442432393604120122e+00
1.274000000000000021e+01,2.285562759049791559e+00
1.324000000000000021e+01,1.467455211817919158e+00
1.399000000000000021e+01,1.453435302148353703e+00
1.499000000000000021e+01,4.864694303248849327e-01
1.748999999999999844e+01,1.831761900418157063e-01
