energy,Pee_rate,error_up,error_down,energy_left,energy_right
6.74,0.439,0.050,0.048,6.49,6.99
7.24,0.448,0.043,0.043,6.99,7.49
7.74,0.461,0.036,0.036,7.49,7.99
8.24,0.473,0.036,0.035,7.99,8.49
8.74,0.463,0.034,0.034,8.49,8.99
9.24,0.499,0.038,0.038,8.99,9.49
9.74,0.474,0.036,0.036,9.49,9.99
10.24,0.481,0.034,0.034,9.99,10.49
10.74,0.452,0.040,0.040,10.49,10.99
11.24,0.469,0.046,0.046,10.99,11.49
11.74,0.482,0.048,0.048,11.49,11.99
12.24,0.419,0.049,0.049,11.99,12.49
12.74,0.462,0.063,0.063,12.49,12.99
13.24,0.444,0.067,0.067,12.99,13.49
13.99,0.430,0.066,0.066,13.49,14.49
14.99,0.563,0.087,0.087,14.49,15.49
17.49,0.648,0.123,0.103,15.49,19.49
