energy,Pee_rate,error_up,error_down,energy_left,energy_right
4.24,0.448,0.100,0.096,3.99,4.49
4.74,0.472,0.088,0.058,4.49,4.99
5.24,0.422,0.039,0.039,4.99,5.49
5.74,0.430,0.037,0.037,5.49,5.99
6.24,0.433,0.023,0.022,5.99,6.49
6.74,0.504,0.025,0.024,6.49,6.99
7.24,0.424,0.024,0.024,6.99,7.49
7.74,0.467,0.023,0.023,7.49,7.99
8.24,0.469,0.026,0.026,7.99,8.49
8.74,0.420,0.025,0.025,8.49,8.99
9.24,0.444,0.029,0.029,8.99,9.49
9.74,0.423,0.027,0.027,9.49,9.99
10.24,0.529,0.035,0.035,9.99,10.49
10.74,0.481,0.037,0.037,10.49,10.99
11.24,0.391,0.040,0.040,10.99,11.49
11.74,0.479,0.045,0.045,11.49,11.99
12.24,0.425,0.061,0.061,11.99,12.49
12.74,0.400,0.073,0.073,12.49,12.99
13.24,0.422,0.061,0.061,12.99,13.49
13.99,0.663,0.110,0.110,13.49,14.49
14.99,0.713,0.150,0.150,14.49,15.49
17.49,0.212,0.248,0.122,15.49,19.49
