energy,Pee_rate,error_up,error_down,energy_left,energy_right
3.74,0.476,0.049,0.048,3.49,3.99
4.24,0.450,0.024,0.024,3.99,4.49
4.74,0.476,0.018,0.018,4.49,4.99
5.24,0.452,0.011,0.011,4.99,5.49
5.74,0.442,0.009,0.009,5.49,5.99
6.24,0.442,0.010,0.010,5.99,6.49
6.74,0.448,0.011,0.011,6.49,6.99
7.24,0.443,0.012,0.012,6.99,7.49
7.74,0.448,0.010,0.010,7.49,7.99
8.24,0.435,0.010,0.010,7.99,8.49
8.74,0.429,0.011,0.011,8.49,8.99
9.24,0.424,0.012,0.012,8.99,9.49
9.74,0.420,0.012,0.012,9.49,9.99
10.24,0.429,0.014,0.014,9.99,10.49
10.74,0.433,0.015,0.015,10.49,10.99
11.24,0.424,0.017,0.017,10.99,11.49
11.74,0.456,0.020,0.020,11.49,11.99
12.24,0.433,0.022,0.022,11.99,12.49
12.74,0.421,0.029,0.029,12.49,12.99
13.24,0.434,0.027,0.027,12.99,13.49
13.99,0.465,0.037,0.037,13.49,14.49
14.99,0.483,0.056,0.056,14.49,15.49
17.49,0.349,0.100,0.080,15.49,19.49
