energy,sigma_e_eV2,sigma_x_eV2
0.02,1.8437830864635103e-45,6.629685823026932e-46
0.04,1.2752117323387921e-44,4.4729810812756334e-45
0.06,3.770125060179685e-44,1.289864014622956e-44
0.08,7.909139903885789e-44,2.6409991040753233e-44
0.1,1.379210828038753e-43,4.498765824209932e-44
0.12,2.1439706548453413e-43,6.838097445742436e-44
0.14,3.0826239576274115e-43,9.623912070138928e-44
0.16,4.1899865124428596e-43,1.2818152464251335e-43
0.18,5.459460463664482e-43,1.6383347578774982e-43
0.2,6.883737544456707e-43,2.0284262831491657e-43
0.22,8.45522757150511e-43,2.448857439794319e-43
0.24,1.0166326752736308e-42,2.8967045939425865e-43
0.26,1.200958553717417e-42,3.3693451947861745e-43
0.28,1.397780940222838e-42,3.864437459272615e-43
0.3,1.6064115774952122e-42,4.379894779292282e-43
0.32,1.8261962573719677e-42,4.9138589460319214e-43
0.34,2.0565158655344363e-42,5.4646743646234285e-43
0.36,2.2967862749044673e-42,6.0308642675961354e-43
0.38,2.5464575410396658e-42,6.6111093619982736e-43
0.4,2.8050126866409964e-42,7.204228966085058e-43
0.42,3.0719661226353155e-42,7.809164197380082e-43
0.44,3.346862049061232e-42,8.424963506327842e-43
0.46,3.629272760180178e-42,9.050769972865197e-43
0.48,3.918796954178273e-42,9.685810245413686e-43
0.5,4.215058082430083e-42,1.0329384911674087e-42
0.52,4.51770276073113e-42,1.0980860111996791e-42
0.54,4.8263992559394146e-42,1.1639660227944542e-42
0.56,5.1408360551665e-42,1.2305261499589764e-42
0.58,5.460720520317418e-42,1.2977186444397516e-42
0.6,5.785777627855133e-42,1.3654998967923577e-42
0.62,6.115748759368657e-42,1.4338299999477209e-42
0.64,6.450390694713861e-42,1.5026723918687078e-42
0.66,6.789474528209324e-42,1.5719935086409468e-42
0.68,7.132784698109306e-42,1.641762485686841e-42
0.7,7.480118132606586e-42,1.7119509036621277e-42
0.72,7.831283429681077e-42,1.7825325571800724e-42
0.74,8.186100095747516e-42,1.8534832491758733e-42
0.76,8.54439783882606e-42,1.9247806076655226e-42
0.78,8.906015912213622e-42,1.9964039221106505e-42
0.8,9.27080250489074e-42,2.068333996987814e-42
0.82,9.638614175153043e-42,2.140553020488968e-42
0.84,1.0009315324203793e-41,2.2130444465589867e-42
0.86,1.0382777706681482e-41,2.2857928887141457e-42
0.88,1.0758879975322636e-41,2.3587840242888438e-42
0.9,1.1137507257173292e-41,2.4320045079321233e-42
0.92,1.1518550758962802e-41,2.5054418933251318e-42
0.94,1.1901907399440522e-41,2.5790845622194702e-42
0.96,1.228747946664945e-41,2.652921660007346e-42
0.98,1.267517424398055e-41,2.7269430252305333e-42
1.0,1.3064903870025547e-41,2.8011391709028758e-42
1.02,1.3456584924920416e-41,2.8755012061734314e-42
