energy,sigma_m2,results,lambda,error1,error2,rate,T_e
0.02,4.308232533036036e-38,0.6210884853578771,8.6e-06,1e-05,7.1e-06,2.9907754418781345e-07,0.02
0.04,1.5867494714470662e-37,0.6169756012250278,3.4e-05,3.91e-05,2.79e-05,4.326014892647393e-06,0.04
0.06,4.756322857593554e-37,0.6126288650242717,7.52e-05,8.59e-05,6.2e-05,2.847864774061863e-05,0.06
0.08,6.422606869712871e-37,0.6081958213158576,0.0001314,0.0001492,0.0001089,6.670876148771368e-05,0.08
0.1,7.737728619325972e-37,0.6036785546362626,0.0002019,0.0002276,0.000168,0.00012257116158962217,0.1
0.12,1.7220512681387067e-36,0.5990341019838672,0.0002859,0.00032,0.0002388,0.00038330503139689384,0.12
0.14,1.5862368719496234e-36,0.5942658444132314,0.0003825,0.000425,0.0003202,0.0004686115526719505,0.14
0.16,2.646357600422764e-36,0.5924359425556808,0.0004912,0.0005413,0.0004131,0.0010008777337570636,0.16
0.18,2.685798349248806e-36,0.5843612712505486,0.0006112,0.0006671,0.0005188,0.0012467257062711314,0.18
0.2,3.261776131381252e-36,0.5792356617613658,0.0007417,0.0008001,0.0006356,0.001821253764887256,0.2
0.22,3.424041339573708e-36,0.5753579075989741,0.0008819,0.0009329,0.0007631,0.0022580272011506132,0.22
0.24,4.354560135588796e-36,0.5686359356976692,0.0010312,0.0010886,0.0009012,0.0033185948875232123,0.24
0.26,5.604592436408866e-36,0.5631787222638039,0.0011885,0.0012578,0.0010496,0.004875534136666393,0.26
0.28,6.073165671789433e-36,0.5576248373618826,0.0013528,0.0014354,0.0012081,0.005954202129056564,0.28
0.3,6.310076392966489e-36,0.5525594229881592,0.001522,0.0016193,0.0013763,0.0068970122913254266,0.3
0.32,6.736806139464965e-36,0.5415773018616071,0.0016919,0.0018012,0.0015541,0.0080227255527762,0.32
0.34,7.32119514747111e-36,0.5406797355885977,0.0018648,0.0020135,0.0017411,0.009593720846234341,0.34
0.36,8.109172480613897e-36,0.5345675191596376,0.002073,0.0022364,0.0019373,0.011679147626064243,0.36
0.38,9.553945742849707e-36,0.5286282879644693,0.0022901,0.0024683,0.0021423,0.015032124280112658,0.38
0.4,9.963579338209812e-36,0.5226447232492855,0.0025156,0.0027083,0.0023558,0.017025359082372855,0.4
0.42,1.0685593520557576e-35,0.5166214595493832,0.0027483,0.0029535,0.0025777,0.019718231926642422,0.42
0.44,1.1273151789795226e-35,0.5105686909428245,0.0029897,0.0032166,0.0028077,0.022364535710533845,0.44
0.46,1.1854620499741484e-35,0.5044979023264003,0.0032437,0.0034885,0.0030454,0.02521276303791968,0.46
0.48,1.2515575430758345e-35,0.4984220867884355,0.0035058,0.003769,0.0032906,0.028422873282261417,0.48
0.5,1.326482701897143e-35,0.4923485346458431,0.0037755,0.0040575,0.0035425,0.03204656285098958,0.5
0.52,1.406568413438941e-35,0.4862801004695271,0.0040511,0.0043531,0.0038002,0.036012482721488506,0.52
0.54,1.4877012325424323e-35,0.4802439241996196,0.0043362,0.0046605,0.0040586,0.0402642531582829,0.54
0.56,1.5674361135395158e-35,0.474240827740429,0.0046343,0.0049758,0.0043393,0.044771915340515125,0.56
0.58,1.3840573656198538e-35,0.4681935683021882,0.0049403,0.0052987,0.0046279,0.041606922844086965,0.58
0.6,1.7217733147438517e-35,0.4775370771873686,0.0052537,0.0056284,0.0049239,0.05614112101131289,0.6
0.62,1.7977447839450992e-35,0.4586187431783388,0.0055736,0.0059644,0.0052268,0.05972392971187413,0.62
0.64,1.8737999503420468e-35,0.4528554207445138,0.0059024,0.0063126,0.0055358,0.06509448158878227,0.64
0.66,1.950225395304083e-35,0.4453905744835425,0.0062405,0.006668,0.005855,0.07044950695162952,0.66
0.68,2.026992287502177e-35,0.4385796785617846,0.0065858,0.00703,0.0061811,0.07609250471931887,0.68
0.7,2.1040202622565255e-35,0.4339750091163137,0.0069381,0.0073976,0.0065139,0.08233565312985458,0.7
0.72,2.1802314059473955e-35,0.4285689653261296,0.0072968,0.0077714,0.0068528,0.08861117462060995,0.72
0.74,2.2582008078491505e-35,0.4232733719380027,0.0076633,0.0081584,0.0071971,0.09519893169236589,0.74
0.76,2.3351127969432595e-35,0.4180919655697312,0.0080373,0.008552,0.0075524,0.10198178419484233,0.76
0.78,2.4118077222003305e-35,0.4130244965444026,0.0084178,0.0089517,0.0079143,0.10898076091850466,0.78
0.8,2.4855752692783266e-35,0.408074124817146,0.0088044,0.0093566,0.0082824,0.11606425368365748,0.8
0.82,2.5644237042430474e-35,0.4032469303059579,0.0091962,0.0097682,0.0086566,0.12359531292465602,0.82
0.84,2.6402640141450566e-35,0.3985339458831338,0.0095966,0.010191,0.0090365,0.1312389689456896,0.84
0.86,2.7159552498102994e-35,0.3939544513677483,0.0100037,0.0106199,0.0094246,0.13911117603582424,0.86
0.88,2.791037124110728e-35,0.3895039785903237,0.0104165,0.0110545,0.0098187,0.14717433103824837,0.88
0.9,2.8659164969506434e-35,0.3851877955301158,0.0108348,0.0114939,0.0102186,0.15544962929546763,0.9
0.92,2.9404332143297157e-35,0.3809876008286409,0.0112568,0.0119402,0.0106242,0.1638965654066259,0.92
0.94,3.0145673606792117e-35,0.376906970355666,0.0116892,0.0123958,0.0110353,0.17261426851206285,0.94
0.96,3.0882994910363606e-35,0.3729710611568938,0.0121275,0.0128571,0.0114529,0.18155096861716735,0.96
0.98,3.161607371637348e-35,0.3691434047175368,0.0125711,0.0133236,0.011876,0.19068172456528087,0.98
1.0,3.23447243547036e-35,0.3654437457500005,0.0130196,0.0137947,0.0123044,0.2000112254429802,1.0
1.02,3.306905497657772e-35,0.3618633664581008,0.0134716,0.0142725,0.0127376,0.20951654485641738,1.02
1.04,3.378835330271353e-35,0.358399075397605,0.0139335,0.0147575,0.013176,0.2192940610247588,1.04
1.06,3.450243187969303e-35,0.355058540939012,0.0144004,0.0152477,0.0136209,0.22927514026081006,1.06
1.08,3.521173163305341e-35,0.3518271915195218,0.0148722,0.0157427,0.0140707,0.23945545930209286,1.08
1.1,3.5917587112754767e-35,0.3486966887738416,0.0153484,0.0162418,0.0145251,0.24983358907539946,1.1
1.12,3.66146938854154e-35,0.3456835952589305,0.0158284,0.0167471,0.0149836,0.2603777894115532,1.12
